Mountain,Route,Mileage,Elevation,Route Time
Mt. Evans,West Ridge from Guanella Pass,8.50 mi,3100',31380
Mt. Democrat,East Slope,4.75 mi,2150',24300
"Group: Democrat, Cameron, Lincoln, Bross",from Kite Lake TH,7.25 mi,3700',45720
"Group: Belford, Oxford","Northwest Ridge,Missouri gulch",11.00 mi,4500',1036800
Mt. Antero,From Browns Creek,6.50 mi,2269',20760
Mt. Princeton,East Slopes,6.50 mi,3200',16200
Mt. Bierstadt,West Slopes,7.00 mi,2850',13860
Pikes Peak,Northwest Slopes,14.00 mi,4500',13080
Huron Peak,Northwest Slopes,6.50 mi,3500',604800
Mt. Massive,East Slopes,14.50 mi,4500',23400
Mt. Antero,West Slopes,16.00 mi,5200',25200
Mt. Sherman,Southwest Ridge,5.25 mi,2100',8400
Mt. Princeton,East Slopes,6.50 mi,3200',18300
San Luis Peak,Northeast Ridge,13.50 mi,3600',27000
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron plus SB,7.25 mi,3700',25200
Mt. Sneffels,South Slopes,6.00 mi,2900',18900
"Group: Shavano, Tabeguache",East Slopes (Standard),11.25 mi,5600',33600
"Group: Shavano, Tabeguache",Angel of Shavano & Tabeguache,-,-,20220
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,-,-,21600
Mt. Elbert,East Ridge,7.60 mi,4000',12660
Mt. Yale,Southwest Slopes,8.37 mi,4291',23009
Humboldt Peak,East Ridge,8.83 mi,4547',27120
Longs Peak,Keyhole Route,13.10 mi,5108',32400
Mt. Yale,Southwest Slopes,-,4300',16020
Mt. Yale,Southwest Slopes,8.42 mi,4491',21600
"Group: Challenger, Kit Carson",Combo: Challenger and Kit Carson,14.50 mi,6250',25200
Mt. Lindsey,Northwest Gully,8.25 mi,3500',18000
San Luis Peak,Northeast Ridge,13.50 mi,3600',21600
Pikes Peak,Northwest Slopes,14.00 mi,4300',25200
Mt. Evans,West Ridge from Summit Lake,5.50 mi,2000',7200
Handies Peak,Southwest Slopes,5.75 mi,2500',10800
Mt. Columbia,West Slopes,11.50 mi,4250',18000
Mt. Antero,West Slopes,16.00 mi,5200',27000
Missouri Mountain,Northwest Ridge,10.50 mi,4500',19800
"Group: Belford, Oxford",Combo: Belford and Oxford,11.00 mi,5800',18000
La Plata Peak,Southwest Ridge,7.00 mi,3380',14400
Huron Peak,Northwest Slopes,6.50 mi,3500',14400
Mt. Princeton,East Slopes,6.50 mi,5400',14400
"Group: Castle, Conundrum",Combo: Caslte and Conundrum,14.50 mi,4850',21600
"Group: Redcloud, Sunshine",Combo: Redcloud and Sunshine,12.25 mi,4800',25200
"Group: Shavano, Tabeguache",Combo: Shavano and Tabeguache,11.25 mi,5600',25200
Mt. Massive,East Slopes,14.50 mi,4500',25200
Mt. Yale,Southwest Slopes,9.50 mi,4300',21600
Mt. Bierstadt,West Slopes,7.00 mi,2850',18000
Longs Peak,Keyhole Route,14.50 mi,5100',43200
Quandary Peak,East Ridge,6.75 mi,3450',21600
"Group: Democrat, Cameron, Lincoln, Bross","Combo: Democrat, Cameron, Lincoln, Bross",7.25 mi,3700',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',32400
Mt. Sherman,Southwest Ridge,5.25 mi,2100',18000
"Group: Grays, Torreys",Combo: Grays and Torreys,8.50 mi,3600',28800
Grays Peak,North Slopes,8.00 mi,3000',28800
Mt. Bierstadt,West Slopes,7.00 mi,2850',18900
"Group: Grays, Torreys",Standard,8.25 mi,3600',28800
Mt. Elbert,East Ridge,9.20 mi,4440',22140
Mt. Shavano,East Slopes,9.25 mi,4600',29520
Quandary Peak,East Ridge,6.75 mi,3450',17460
Mt. Yale,Southwest Slopes,9.50 mi,4300',23280
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',26040
Mt. Bierstadt,West Slopes,7.00 mi,2850',21600
Quandary Peak,East Ridge,6.75 mi,3450',25200
Mt. Sneffels,South Slopes,15.00 mi,5250',32400
Quandary Peak,East Ridge,7.00 mi,3500',18000
Humboldt Peak,East Ridge,13.00 mi,4300',45000
Uncompahgre Peak,South Ridge,16.50 mi,5300',52200
Longs Peak,Keyhole Route,15.00 mi,5580',54000
Mt. Massive,Massive Mania,14.50 mi,4950',38100
Mt. Princeton,East Slopes,13.00 mi,5400',39600
Mt. Bierstadt,East Ridge,7.00 mi,2850',18000
Mt. Bierstadt,West Slopes,7.00 mi,3000',15300
Mt. Antero,West Slopes,15.00 mi,5200',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',26100
Quandary Peak,East Ridge,7.00 mi,3450',23400
Mt. Princeton,East Slopes,5.60 mi,3100',16620
Mt. Cameron,Mt. Lincoln Route,4.50 mi,2550',15000
Mt. Lincoln,West Ridge,5.50 mi,2600',18600
Mt. Antero,West Slopes,9.00 mi,3383',22200
Mt. Yale,Southwest Slopes,9.50 mi,4250',18900
Quandary Peak,East Ridge,-,-,18000
"Group: Grays, Torreys",Stevens Gulch- From Private Property Sign,11.23 mi,4203',12000
"Group: Uncompahgre, Wetterhorn",Duo from Matterhorn Creek TH,17.60 mi,6847',19742
Quandary Peak,East Ridge,6.75 mi,3450',20700
Pikes Peak,pike2,13.00 mi,7500',31500
Mt. Yale,Southwest Slopes,10.50 mi,4300',33600
Grays Peak,North Slopes,7.50 mi,3000',20700
Mt. Massive,Southwest Slopes,6.25 mi,3950',21600
Mt. Elbert,Southeast Ridge,9.50 mi,4500',23400
"Group: Democrat, Cameron, Lincoln, Bross",Standard route from Kite Lake,7.25 mi,3700',26760
Quandary Peak,East Ridge,6.75 mi,3600',15000
"Group: Grays, Torreys",Standard route,8.25 mi,-,18900
"Group: Evans, Sawtooth, Bierstadt",Standard route,9.50 mi,-,34200
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.25 mi,3700',20640
Mt. Bierstadt,West Slopes,7.00 mi,2850',13200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19500
La Plata Peak,Northwest Ridge,9.00 mi,4500',29400
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,-,-,8640
Pikes Peak,pike2,28.00 mi,7900',23700
San Luis Peak,South Ridge,11.20 mi,3600',15000
"Group: Shavano, Tabeguache",Standard,11.10 mi,5600',30240
Mt. Lindsey,Northwest Ridge,8.25 mi,3500',25440
Mt. Massive,East Slopes,13.75 mi,4500',24540
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',35400
Huron Peak,Northwest Slopes,6.75 mi,3500',19800
"Group: Belford, Oxford, Missouri",Belford-Oxford-Missouri,15.00 mi,7500',42900
Uncompahgre Peak,South Ridge,5.50 mi,3000',19800
Pyramid Peak,Northeast Ridge,-,4500',27840
"Group: Belford, Oxford",Missouri Gulch,11.00 mi,5800',23820
Pikes Peak,Northwest Slopes,11.50 mi,4300',18120
Tabeguache Peak,Jennings Cr. Valley,6.00 mi,3700',29400
Missouri Mountain,Northwest Ridge,10.50 mi,4600',34200
"Group: Grays, Torreys",Grays,8.25 mi,3000',18900
Mt. Democrat,East Slope,4.00 mi,2150',21600
San Luis Peak,Northeast Ridge,13.00 mi,3600',20280
Longs Peak,Keyhole Route,-,-,36000
"Group: Harvard, Columbia",Standard Harvard Columbia Loop,-,-,43200
"Group: Challenger, Kit Carson",North Ridge to Challenger,15.00 mi,6250',38700
Mt. Harvard,South Slopes,13.50 mi,4600',16560
"Group: Shavano, Tabeguache",East Slopes,11.25 mi,5600',30600
"Group: Harvard, Columbia",Standard to Harvard/Columbia; Return via Columbia West Slope,-,-,28980
Pikes Peak,Northwest Slopes,13.00 mi,4800',16074
Mt. Princeton,East Slopes,6.25 mi,3200',18000
Uncompahgre Peak,South Ridge,7.25 mi,3000',15900
Wetterhorn Peak,Southeast Ridge,8.40 mi,3600',18000
Mt. Sneffels,South Slopes,6.00 mi,2900',13800
Mt. Wilson,North Slopes,16.00 mi,5100',37800
Mt. Bierstadt,West Slopes,7.00 mi,2850',18000
"Group: Grays, Torreys",Standard,-,-,8463
Mt. Sherman,Southwest Ridge,5.00 mi,2100',7185
Longs Peak,Keyhole Route,15.00 mi,5100',34740
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',25200
Longs Peak,Keyhole Route,14.00 mi,5100',34860
Longs Peak,Keyhole Route,15.50 mi,5100',45000
Grays Peak,North Slopes,7.50 mi,3000',21600
"Group: Democrat, Cameron, Lincoln, Bross",Kite lake ,7.25 mi,3700',8508
Longs Peak,Loft Route,15.00 mi,5000',43200
"Group: Redcloud, Sunshine",Northeast Ridge from Silver Creek,12.00 mi,4800',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',32100
"Group: Grays, Torreys",Combo,8.25 mi,3600',25200
Quandary Peak,East Ridge,6.75 mi,3450',46800
"Group: Blanca, Ellingwood",Blanca->EP ridge traverse,11.00 mi,6000',25740
Grays Peak,North Slopes,9.00 mi,3600',277200
Mt. Elbert,Northeast Ridge,9.74 mi,4692',35116
El Diente Peak,North Buttress,12.00 mi,6300',34800
Mt. Yale,Southwest Slopes,9.50 mi,4200',21600
"Group: Harvard, Columbia",Standard,13.90 mi,6100',41400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21000
Handies Peak,Southwest Slopes,5.50 mi,2500',14700
"Group: Redcloud, Sunshine",Standard,12.00 mi,4800',23700
Mt. Sneffels,Southwest Ridge,7.80 mi,3450',15000
"Group: Belford, Oxford",NW Ridge (Belford)/West Ridge (Oxford),11.00 mi,5900',27000
Missouri Mountain,Northwest Ridge,10.50 mi,4500',16930
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12600
Wetterhorn Peak,Southeast Ridge,6.80 mi,3280',18300
Uncompahgre Peak,South Ridge,7.60 mi,2870',17100
Mt. Sherman,Southwest Ridge,-,-,11700
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',27000
Mt. Sherman,Southwest Ridge,-,-,18000
"Group: Evans, Sawtooth, Bierstadt",standard from Guanella pass,-,-,37800
Missouri Mountain,Northwest Ridge,10.50 mi,4500',34680
Mt. Columbia,West Slopes,11.50 mi,4250',36000
Mt. Princeton,East Slopes,6.25 mi,3200',30600
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',36240
Mt. Shavano,East Slopes,9.25 mi,4600',34680
Mt. Sherman,Southwest Ridge,5.00 mi,-,7200
Mt. Yale,Southwest Slopes,9.50 mi,4300',37800
Longs Peak,Keplinger's Couloir,16.00 mi,5900',43200
Quandary Peak,East Ridge,7.00 mi,3450',8535
"Group: Evans, Sawtooth, Bierstadt","Bierstadt, Sawtooth, Evans",10.25 mi,3900',26100
Mt. Elbert,Northeast Ridge,9.00 mi,4700',745200
Mt. Massive,East Slopes,13.75 mi,4500',36000
"Group: Democrat, Cameron, Lincoln, Bross",Normal,7.25 mi,3700',25200
Huron Peak,Northwest Slopes,6.75 mi,3500',6575
Mt. Lindsey,Northwest Gully,8.25 mi,3500',30600
Pyramid Peak,Northeast Ridge,8.00 mi,4500',21660
Mt. Massive,Southwest Slopes,8.00 mi,3950',18900
Torreys Peak,Kelso Ridge,7.13 mi,3100',18900
Mt. Bierstadt,West Slopes,7.00 mi,2850',6300
Longs Peak,Keyhole Route,14.00 mi,5100',40500
Mt. Evans,Northeast Face,1.50 mi,1475',300
Mt. Sherman,Southwest Ridge,5.25 mi,2200',259200
La Plata Peak,Northwest Ridge,9.50 mi,4500',13500
Capitol Peak,Northeast Ridge,17.00 mi,5300',518400
Ridge Traverse: Maroon Bells,Traverse,0.50 mi,350',1680
"Group: Pyramid, Maroon, North Maroon",The Triple,16.10 mi,9000',32280
Pikes Peak,pike2,25.80 mi,7410',50400
Pikes Peak,pike2,25.80 mi,7410',51000
Mt. Yale,Southwest Slopes,8.50 mi,4296',30600
Mt. Princeton,East Slopes,13.00 mi,5297',30000
Pikes Peak,pike2,12.90 mi,7410',25200
Pikes Peak,Northwest Slopes,12.80 mi,4010',36000
Pikes Peak,pike2,25.80 mi,7410',61200
Mt. Bierstadt,West Slopes,6.90 mi,2900',14400
"Group: Grays, Torreys",Torreys West Ridge to Grays North Slopes traverse,10.70 mi,4370',30000
Mt. Massive,East Slopes,13.60 mi,4531',36600
Uncompahgre Peak,Southwest Slopes to East Slopes traverse,11.25 mi,4585',25200
Handies Peak,East Slopes,7.00 mi,3648',25200
Pyramid Peak,Northeast Ridge,7.00 mi,4418',37800
Longs Peak,Keyhole Route,2.60 mi,1905',25800
Quandary Peak,East Ridge,6.75 mi,3450',14400
Culebra Peak,Northwest Ridge,4.80 mi,2347',18600
Mt. Evans,Road,14.50 mi,3800',13080
Mt. Evans,Road,14.50 mi,3800',12422
Mt. Evans,Road,14.50 mi,3800',14640
Longs Peak,Keyhole Route,14.00 mi,5100',50400
Quandary Peak,East Ridge,6.75 mi,3450',21600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',15060
Longs Peak,Keyhole Route,14.00 mi,5100',43200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',25200
Mt. Sherman,Southwest Ridge,-,-,16200
Wetterhorn Peak,Southeast Ridge,8.40 mi,3800',20400
Uncompahgre Peak,South Ridge,7.25 mi,3000',12600
"Group: Redcloud, Sunshine","Northeast Ridge (Redcloud ascent), Northwest Face (Sunshine descent)",10.00 mi,4200',23400
Mt. Massive,"14,000-foot point loop - from N. Halfmoon Creek TH",21.75 mi,4500',32400
Mt. Shavano,East Slopes,9.25 mi,4600',43200
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',22500
Mt. Elbert,East Ridge,8.00 mi,4100',30000
"Group: Shavano, Tabeguache",Standard East Slopes,11.25 mi,5600',22860
Huron Peak,Northwest Slopes,6.75 mi,3500',11820
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.25 mi,-,22200
"Group: Evans, Sawtooth, Bierstadt",gully decent,-,-,27000
"Group: Redcloud, Sunshine","Northeast Ridge, down Northwest Face",10.00 mi,4800',17400
Mt. Massive,Southwest Slopes,8.00 mi,3950',24600
"Group: Grays, Torreys",Normal,8.25 mi,3650',23400
Huron Peak,North Ridge from Lulu Gulch,8.10 mi,3960',23400
"Group: Redcloud, Sunshine",Silver Creek/Grizzly Gulch,14.50 mi,4250',21000
Mt. Elbert,Northeast Ridge,9.00 mi,-,10652
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.40 mi,3500',20340
Mt. Antero,West Slopes,15.00 mi,5200',14280
Mt. Sherman,Southwest Ridge,5.25 mi,2200',12960
"Group: Challenger, Kit Carson",Willow Lake-Challenger-Kit Carson,14.50 mi,6250',35280
Mt. Sherman,Southwest Ridge,5.50 mi,2100',13502
Mt. Elbert,Northeast Ridge,9.00 mi,4700',518400
Mt. Democrat,East Slope,-,-,518400
Uncompahgre Peak,South Ridge,7.25 mi,3000',22500
Wetterhorn Peak,Southeast Ridge,7.00 mi,3300',25200
Mt. Sherman,West Slopes from Iowa Gulch,4.50 mi,2150',18000
"Group: Belford, Oxford",Northwest Ridge,11.00 mi,5800',24180
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.25 mi,3700',15600
Mt. Princeton,East Slopes,13.50 mi,5400',27900
Huron Peak,Northwest Slopes,6.75 mi,3500',12652
Mt. Massive,Southeast Ridge,12.40 mi,5174',604800
Mt. Sherman,Southwest Ridge,5.25 mi,2100',16200
"Group: Evans, Sawtooth, Bierstadt","Bierstadt West Slopes, Sawtooth, Evans West Ridge",10.60 mi,4824',28560
Pikes Peak,pike2,12.50 mi,7800',20400
Grays Peak,North Slopes,7.50 mi,3000',29640
"Group: Shavano, Tabeguache",East Slopes - Standard Route,11.40 mi,5271',33300
Mt. of the Holy Cross,North Ridge,12.00 mi,5625',23400
Mt. Evans,West Ridge from Summit Lake,5.50 mi,2000',15900
Mt. Sneffels,South Slopes,6.00 mi,2900',18000
"Group: Grays, Torreys",Combo,8.25 mi,3600',16200
"Group: Grays, Torreys",Combo: Grays and Torreys,8.25 mi,3600',13500
La Plata Peak,Northwest Ridge,9.50 mi,4500',21600
Missouri Mountain,Northwest Ridge,10.50 mi,4500',22200
Pyramid Peak,Northeast Ridge,8.50 mi,4500',28800
Culebra Peak,Northwest Ridge,5.60 mi,2700',10800
Torreys Peak,South Slopes,7.50 mi,3000',399600
Mt. Harvard,South Slopes,13.50 mi,4800',28260
"Group: Grays, Torreys",Grays Peak Trailhead,9.05 mi,-,29397
"Group: Shavano, Tabeguache",Shavano-Tabeguache-Antero-Tabeguache-Shavano,22.00 mi,11400',44640
Longs Peak,Keyhole Route,14.00 mi,5100',15300
"Group: Belford, Oxford",Standard NW Ridge,8.00 mi,4500',24480
Mt. Lindsey,Northwest Ridge,8.25 mi,3500',17520
La Plata Peak,Northwest Ridge,9.50 mi,4500',18540
Mt. of the Holy Cross,North Ridge,15.00 mi,-,48180
"Group: Shavano, Tabeguache",Standard (East Slope of Shavano),11.25 mi,5600',23962
Uncompahgre Peak,South Ridge,7.25 mi,3000',16200
Mt. Wilson,North Slopes,6.50 mi,3200',28800
Wilson Peak,Southwest Ridge,7.00 mi,3000',31500
San Luis Peak,Northeast Ridge,13.00 mi,3600',28800
Pikes Peak,Barr Trail,24.00 mi,7500',30767
La Plata Peak,Northwest Ridge,9.50 mi,4500',28800
"Group: Belford, Oxford","Standard (MW Ridge to Belford, then Oxford",11.00 mi,5800',22282
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake - Standard,7.50 mi,-,17220
"Group: Harvard, Columbia",N. Cottonwood Creek,15.00 mi,6100',35100
Uncompahgre Peak,South Ridge,8.20 mi,2849',24300
"Group: Evans, Sawtooth, Bierstadt","Bierstadt West Slopes, Sawtooth, Evans West Slopes",10.25 mi,3900',28080
Longs Peak,Loft Route,12.20 mi,5735',26700
Mt. Bierstadt,West Slopes,-,2700',13500
Quandary Peak,East Ridge,6.75 mi,3450',16200
Mt. Yale,Southwest Slopes,9.50 mi,4300',23400
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12600
Mt. Bierstadt,West Slopes,7.00 mi,2850',15300
"Group: Democrat, Cameron, Lincoln, Bross","Combo) Democrat, Cameron, Lincoln, Bross",7.50 mi,3800',18600
"Group: Grays, Torreys",Combo) Grays and Torreys,9.50 mi,4000',20700
Longs Peak,Keyhole Route,14.00 mi,5100',36000
Torreys Peak,South Slopes,8.00 mi,3000',20400
Huron Peak,Northwest Slopes,6.75 mi,3200',15600
Handies Peak,Southwest Slopes,5.50 mi,2500',10428
Grays Peak,North Slopes,7.50 mi,3000',15300
Mt. Sherman,Southwest Ridge,5.25 mi,2100',10200
Crestone Peak,South Face,15.10 mi,6300',54660
Sunshine Peak,Via Redcloud Peak,9.70 mi,3600',17100
San Luis Peak,Northeast Ridge,13.00 mi,3500',17100
Kit Carson Peak,Willow Creek Approach,12.00 mi,6250',28320
"Group: Challenger, Kit Carson",Willow Creek Trailhead,12.40 mi,6223',28320
Longs Peak,Keyhole Route,14.68 mi,4890',29280
Mt. Harvard,South Face,13.50 mi,4100',25920
Mt. Antero,West Slopes,10.10 mi,3500',24300
Grays Peak,South Ridge,8.00 mi,3850',32400
Culebra Peak,Northwest Ridge,7.00 mi,3200',259200
Missouri Mountain,Northwest Ridge,10.50 mi,4500',32400
"Group: Uncompahgre, Wetterhorn",Matterhorn Creek,18.00 mi,6800',39600
Quandary Peak,East Ridge,6.75 mi,3450',10200
Longs Peak,Loft Route,13.50 mi,5300',23400
"Group: Grays, Torreys",Standard,9.00 mi,3600',17880
La Plata Peak,Northwest Ridge,9.50 mi,4500',15000
Pikes Peak,pike2,25.15 mi,6338',27300
Mt. Princeton,East Slopes,13.65 mi,4600',18900
Mt. Elbert,Northeast Ridge,9.00 mi,4700',572400
"Group: Grays, Torreys",Standard Combo,8.17 mi,3600',13901
Mt. Elbert,Northeast Ridge,9.10 mi,4700',16947
Longs Peak,Keyhole Route,13.68 mi,5100',24225
Pyramid Peak,Northeast Ridge,8.00 mi,4500',13971
Mt. Harvard,South Slopes,13.79 mi,4700',22638
"Group: Redcloud, Sunshine","Redcloud NE Ridge, Sunshine NE Ridge",9.70 mi,4135',19260
Mt. Sneffels,Southwest Ridge,7.80 mi,3450',21120
Handies Peak,Southwest Slopes,7.30 mi,2800',10380
"Group: Democrat, Cameron, Lincoln, Bross","Standard, descend Bross",7.25 mi,3700',14420
Mt. Sherman,Southwest Ridge,4.71 mi,2149',19019
Mt. Antero,West Slopes,15.00 mi,5200',691200
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',26100
"Group: Evans, Sawtooth, Bierstadt",Combo,11.10 mi,4587',21612
Mt. Lindsey,Northwest Gully,8.25 mi,3500',21600
Snowmass Mountain,East Slopes,21.50 mi,5800',44820
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',26400
Mt. Massive,Southwest Slopes,8.00 mi,3950',27840
San Luis Peak,Northeast Ridge,13.00 mi,3600',16789
Mt. Massive,Southwest Slopes,7.80 mi,4100',21600
Quandary Peak,East Ridge,6.75 mi,3450',14700
Mt. Democrat,East Slope,4.00 mi,2150',15600
Mt. Sherman,Southwest Ridge,4.80 mi,2016',12780
Mt. Yale,Southwest Slopes,9.50 mi,4300',24300
Mt. Democrat,East Slope,4.00 mi,2150',12000
Mt. Elbert,East Ridge,12.00 mi,4900',24300
Humboldt Peak,West Ridge,12.25 mi,4200',20160
"Group: Shavano, Tabeguache",Standard Route,-,-,33000
Wetterhorn Peak,Southeast Ridge,7.30 mi,3295',22800
Handies Peak,Southwest Slopes,4.60 mi,2448',27600
"Ridge Traverse: El Diente, Mt. Wilson",El Diente North Slopes/Mount Wilson Northeast Ridge,12.50 mi,6000',59400
Ridge Traverse: The Crestones ,Peak to Needle Traverse,-,-,32400
"Group: Harvard, Columbia",Harvard South Slopes traverse to Columbia west slopes,14.90 mi,6027',19220
Mt. Yale,Southwest Slopes,9.50 mi,4300',34800
Mt. of the Holy Cross,North Ridge,11.20 mi,5609',14035
"Group: Challenger, Kit Carson","Willow Creek approach, North Slope Challenger, Kit Carson Avenue",14.50 mi,6250',37200
"Group: Belford, Oxford",West Slopes II,6.20 mi,4600',36000
Mt. Yale,Southwest Slopes,9.50 mi,4300',12600
Mt. Bierstadt,West Slopes,7.00 mi,2850',19800
Missouri Mountain,Northwest Ridge,10.50 mi,4500',17100
Mt. Yale,Southwest Slopes,9.50 mi,4300',22500
Mt. Yale,Southwest Slopes,9.50 mi,4300',25200
"Group: Grays, Torreys",Kelso Ridge,8.10 mi,3000',21600
"Ridge Traverse: El Diente, Mt. Wilson","South slopes up Diente, standard down Wilson",12.00 mi,5000',64800
"Group: Redcloud, Sunshine","Snow route up Sunshine, standard down Redcloud",12.00 mi,4800',36000
Capitol Peak,Northeast Ridge,20.00 mi,7100',345600
La Plata Peak,Northwest Ridge,9.50 mi,4500',21000
Mt. Yale,Southwest Slopes,9.50 mi,4300',19200
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',43200
"Group: Harvard, Columbia",Standard Traverse,15.00 mi,6100',27480
Uncompahgre Peak,South Ridge,7.90 mi,2933',15536
Quandary Peak,West Ridge,7.10 mi,3325',16860
"Group: Grays, Torreys",Combo,8.25 mi,3500',8220
Quandary Peak,East Ridge,7.00 mi,3400',8280
La Plata Peak,Southwest Ridge,7.00 mi,3500',35100
"Group: Shavano, Tabeguache",Tabeguache Peak - Via Mt. Shavano ,11.25 mi,5600',29100
Quandary Peak,East Ridge,6.75 mi,3450',22698
Mt. Yale,Southwest Slopes,9.50 mi,4300',26100
Mt. Elbert,Northeast Ridge,9.00 mi,4700',15087
Pikes Peak,Northwest Slopes,13.25 mi,4300',20640
"Group: Belford, Oxford, Missouri",Elkhead Pass,14.50 mi,7400',33000
Pikes Peak,Northwest Slopes,14.00 mi,4270',25525
Mt. Massive,Southwest Slopes,9.00 mi,3950',16200
Mt. Sherman,Southwest Ridge,-,-,15300
Mt. Evans,West Ridge from Guanella Pass,5.50 mi,2000',14400
"Group: Belford, Oxford",Standard,12.00 mi,-,30600
"Group: Grays, Torreys",Kelso Ridge to Grays Combo,8.30 mi,3560',15115
"Group: Grays, Torreys",Standard Combo,8.25 mi,3600',8220
Uncompahgre Peak,South Ridge,7.65 mi,3000',18000
Mt. Massive,East Slopes,13.75 mi,4500',27900
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12600
Mt. Princeton,East Slopes,-,2650',10980
Quandary Peak,East Ridge,6.75 mi,3450',14400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',25200
Mt. Bierstadt,West Slopes,7.00 mi,2850',14400
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',19380
"Group: Grays, Torreys",Standard Combo,8.25 mi,3600',18900
Pikes Peak,Northwest Slopes,13.25 mi,4300',21060
Quandary Peak,East Ridge,5.60 mi,3325',30600
"Group: Evans, Sawtooth, Bierstadt",Guanella Pass,11.00 mi,4400',13800
Mt. Evans,West Ridge from Echo Lake,9.70 mi,3300',21600
"Group: Belford, Oxford",Standard,-,-,21600
Quandary Peak,East Ridge,6.75 mi,3450',24600
Mt. Shavano,East Slopes,9.25 mi,4600',13320
Missouri Mountain,West Ridge,11.25 mi,4250',21600
Huron Peak,Northwest Slopes,7.00 mi,3500',14400
Mt. Bierstadt,West Slopes,7.00 mi,2850',11421
Longs Peak,Keyhole Route,14.10 mi,4870',38700
Castle Peak,Northeast Ridge,6.80 mi,3200',25200
Uncompahgre Peak,South Ridge,7.50 mi,3000',19800
La Plata Peak,Southwest Ridge,7.30 mi,3450',25200
Blanca Peak,Lake Como Approach,10.00 mi,4300',34200
Mt. Bierstadt,West Slopes,7.00 mi,2850',6531
Mt. Princeton,East Slopes,13.10 mi,5260',11814
"Group: Maroon, North Maroon",S to n std,9.00 mi,4850',25500
"Group: Challenger, Kit Carson, Crestones, Humboldt",H KC C CP CN,20.37 mi,10719',38768
Huron Peak,Northwest Slopes,11.15 mi,3800',25320
Mt. Massive,East Slopes,16.50 mi,-,28920
"Group: Grays, Torreys",Standard w/ Glissade,8.25 mi,3600',27720
Mt. Elbert,Northeast Ridge,-,-,28800
Mt. Sneffels,South Slopes,7.60 mi,3000',24300
Mt. Massive,East Slopes,13.75 mi,4500',32400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',11743
Mt. Bierstadt,West Slopes,7.00 mi,2850',6856
Mt. Bierstadt,West Slopes,7.00 mi,2850',21874
Mt. Princeton,East Slopes,7.00 mi,3300',16200
Wilson Peak,Southwest Ridge,9.25 mi,3800',25200
"Ridge Traverse: El Diente, Mt. Wilson",El Diente to Mt. Wilson,-,500',6300
Mt. Bierstadt,West Slopes,7.00 mi,2850',14400
Huron Peak,Northwest Slopes,6.75 mi,3500',16800
Grays Peak,North Slopes,7.20 mi,3000',7800
"Group: Shavano, Tabeguache",Standard,11.00 mi,5600',43200
"Group: Uncompahgre, Wetterhorn","Standard, Matterhorn Crk",17.50 mi,6700',19966
"Group: Redcloud, Sunshine",NW Ridge & Sundog,8.90 mi,4700',12660
Mt. Bierstadt,West Slopes,7.00 mi,2850',6840
Mt. Shavano,East Slopes,9.25 mi,4600',20700
Mt. Princeton,East Slopes,6.25 mi,3200',21600
Pikes Peak,Northwest Slopes,13.25 mi,4300',13652
Mt. Bierstadt,West Slopes,7.00 mi,2850',11760
Mt. Bierstadt,West Slopes,7.00 mi,2850',17100
"Group: Evans, Sawtooth, Bierstadt",Bierstadt to Sawtooth - no Evans,7.25 mi,3250',28800
San Luis Peak,Northeast Ridge,11.00 mi,3600',23400
"Group: Redcloud, Sunshine",Out and Back - Cross RedCloud 2X,12.00 mi,4800',36000
"Group: Democrat, Cameron, Lincoln, Bross","Bross, Lincoln, Cameron, Democrat Starting at Bross",7.25 mi,3700',15600
